,Name,ex_scroll,total_app,offset,min
684,BIGTOSMALL,0,1,0,1
685,FLAPODROM,0,1,0,1
686,ALGSTOD,0,1,0,1
687,BALVAGEN,0,1,0,1
688,"HOLD 149, I LOVE/HATE YOU",0,1,0,1
689,s7,0,1,0,1
690,TOMORROW'S 1,0,1,0,1
691,GURN MALC GURN,0,1,0,1
692,WARM UP A4,0,1,0,1
693,GORILLA BEGINS(6A/V3),0,1,0,1
694,NO FIT STATE,0,1,0,1
695,THE YOUNG ONES,0,1,0,1
696,PRIAPISM 7C+/8A,0,1,0,1
697,NO SHORTCUT,0,1,0,1
698,KING-KONG,0,1,0,1
699,WARM-UP,0,1,0,1
700,2 HOLDS LESS 2GRADES LESS,0,1,0,1
701,WIFE'S RATH,0,1,0,1
702,GIVE IT THE SUCC,0,1,0,1
703,L9,0,1,0,1
704,1-2,0,1,0,1
705,1-2V,0,1,0,1
706,PROB1,0,1,0,1
707,FLOW,0,1,0,1
708,L10,0,1,0,1
709,NECROTIC 7A+/7B,0,1,0,1
710,EARRINGS ON POINT,0,1,0,1
711,HIGH STEPPIN',0,1,0,1
712,WEAK MAN'S COP OUT,0,1,0,1
713,HIGH FLYING,0,1,0,1
714,NUGGET,0,1,0,1
715,PINT-SIZED PROBLEM,0,1,0,1
716,SLINKY,0,1,0,1
717,ACG29,0,1,0,1
718,ACG30,0,1,0,1
